,index,Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,HCAHPS Measure ID,HCAHPS Question,HCAHPS Answer Description,Patient Survey Star Rating,Patient Survey Star Rating Footnote,HCAHPS Answer Percent,HCAHPS Answer Percent Footnote,HCAHPS Linear Mean Value,Number of Completed Surveys,Number of Completed Surveys Footnote,Survey Response Rate Percent,Survey Response Rate Percent Footnote,Start Date,End Date,Year,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for promoting interoperability of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,lat,lon
352377,352377,431319,HANS P PETERSON MEMORIAL HOSPITAL - CAH,503 W PINE  POST OFFICE BOX 790,PHILIP,SD,57567,HAAKON,(605) 859-2511,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,Not Available,5.0,Not Applicable,Not Available,5.0,Not Available,5.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16.0,Not Available,5.0,Not Available,5.0,Not Available,5.0,Not Available,16.0,Not Available,5.0,Not Available,16.0,Not Available,5.0,44.039268,-101.662865
352470,352470,431320,REGIONAL HEALTH LEAD-DEADWOOD HOSPITAL,61 CHARLES STREET,DEADWOOD,SD,57732,LAWRENCE,(605) 717-6000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,76,10.0,Not Applicable,32,10.0,18,10.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16.0,Not Available,5.0,Not Available,16.0,Not Available,5.0,Not Available,16.0,Not Available,16.0,Above the national average,,Same as the national average,,44.369621,-103.728363
352563,352563,431321,REGIONAL HEALTH STURGIS HOSPITAL,2140 JUNCTION AVE,STURGIS,SD,57785,MEADE,(605) 720-2400,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,87,6.0,Not Applicable,76,6.0,19,6.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,4,,Not Available,5.0,Not Available,5.0,Above the national average,,Above the national average,,Not Available,5.0,Above the national average,,Not Available,5.0,44.402805,-103.507645
352656,352656,431322,FALL RIVER HOSPITAL - CAH,1201 HIGHWAY 71 SOUTH,HOT SPRINGS,SD,57747,FALL RIVER,(605) 745-8910,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,Not Available,5.0,Not Applicable,Not Available,5.0,Not Available,5.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Government - Local,Yes,,Not Available,16.0,Not Available,5.0,Not Available,16.0,Above the national average,,Not Available,16.0,Not Available,16.0,Not Available,5.0,Not Available,5.0,43.417152,-103.480019
352749,352749,431323,REGIONAL HEALTH CUSTER HOSPITAL,1220 MONTGOMERY STREET,CUSTER,SD,57730,CUSTER,(605) 673-9400,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,89,10.0,Not Applicable,29,10.0,14,10.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16.0,Not Available,5.0,Not Available,16.0,Not Available,5.0,Not Available,16.0,Not Available,5.0,Above the national average,,Not Available,5.0,43.771557,-103.589111
352842,352842,431324,AVERA WESKOTA MEMORIAL MEDICAL CENTER - CAH,604 1ST ST NE,WESSINGTON SPRINGS,SD,57382,JERAULD,(605) 539-1201,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,Not Available,1.0,Not Applicable,Not Available,1.0,Not Available,1.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16.0,Not Available,5.0,Not Available,16.0,Not Available,5.0,Not Available,16.0,Not Available,5.0,Above the national average,,Not Available,16.0,44.081066,-98.563347
352935,352935,431325,MOBRIDGE REGIONAL HOSPITAL - CAH,1401 10TH AVE WEST,MOBRIDGE,SD,57601,WALWORTH,(605) 845-3692,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,84,6.0,Not Applicable,68,6.0,23,6.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Not Available,16.0,Below the national average,,Not Available,16.0,Not Available,16.0,Above the national average,,Not Available,5.0,45.546482003083,-100.448848018632
353028,353028,431326,MILBANK AREA HOSPITAL/AVERA HEALTH,301 FLYNN DRIVE,MILBANK,SD,57252,GRANT,(605) 432-4538,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,83,6.0,Not Applicable,93,6.0,39,6.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Not Available,5.0,Not Available,16.0,Same as the national average,,Not Available,16.0,Not Available,5.0,Above the national average,,Same as the national average,,45.220093,-96.616524
353121,353121,431327,ST MICHAEL'S HOSPITAL - CAH,410 W 16TH AVE,TYNDALL,SD,57066,BON HOMME,(605) 589-2100,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,89,10.0,Not Applicable,35,10.0,36,10.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,16.0,Not Available,5.0,Not Available,16.0,Same as the national average,,Not Available,16.0,Not Available,5.0,Not Available,5.0,Not Available,5.0,42.991543,-97.867767
353214,353214,431328,PIONEER MEMORIAL HOSPITAL - CAH,315 N WASHINGTON AVE  POST OFFICE BOX 368,VIBORG,SD,57070,TURNER,(605) 326-5161,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,Not Available,1.0,Not Applicable,Not Available,1.0,Not Available,1.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16.0,Not Available,16.0,Not Available,16.0,Not Available,16.0,Not Available,16.0,Not Available,5.0,Not Available,16.0,Not Available,16.0,43.170086,-97.081886
353307,353307,431329,SANFORD CHAMBERLAIN MEDICAL CENTER,300 S BYRON,CHAMBERLAIN,SD,57325,BRULE,(605) 234-5511,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,84,10.0,Not Applicable,30,10.0,14,10.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16.0,Not Available,5.0,Not Available,16.0,Not Available,5.0,Not Available,16.0,Not Available,16.0,Not Available,16.0,Same as the national average,,43.786228,-99.324722
353400,353400,431330,AVERA ST BENEDICT HEALTH CENTER - CAH,401 WEST GLYNN DRIVE,PARKSTON,SD,57366,HUTCHINSON,(605) 928-3311,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,82,6.0,Not Applicable,88,6.0,33,6.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Not Available,5.0,Not Available,16.0,Same as the national average,,Not Available,16.0,Same as the national average,,Above the national average,,Not Available,5.0,43.399639,-97.99118
353493,353493,431331,AVERA DELLS AREA HOSPITAL  - CAH,909 N IOWA AVE,DELL RAPIDS,SD,57022,MINNEHAHA,(605) 428-5431,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,88,10.0,Not Applicable,39,10.0,42,10.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16.0,Not Available,5.0,Not Available,16.0,Not Available,5.0,Not Available,16.0,Not Available,5.0,Above the national average,,Not Available,5.0,43.82869,-96.715874
353586,353586,431332,AVERA DE SMET MEMORIAL HOSPITAL - CAH,306 PRAIRIE AVENUE SW  POST OFFICE BOX 160,DE SMET,SD,57231,KINGSBURY,(605) 854-3329,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,Not Available,1.0,Not Applicable,Not Available,1.0,Not Available,1.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16.0,Not Available,16.0,Not Available,16.0,Not Available,16.0,Not Available,16.0,Not Available,5.0,Above the national average,,Not Available,16.0,44.38662,-97.549438
353679,353679,431333,SANFORD CANTON-INWOOD MEDICAL CENTER - CAH,440 NORTH HIAWATHA DRIVE,CANTON,SD,57013,LINCOLN,(605) 764-1400,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,90,10.0,Not Applicable,28,10.0,31,10.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16.0,Not Available,5.0,Not Available,16.0,Not Available,5.0,Not Available,16.0,Not Available,16.0,Not Available,16.0,Not Available,16.0,43.30423,-96.556557
353772,353772,431334,WINNER REGIONAL HEALTHCARE CENTER - CAH,745 EAST 8TH STREET,WINNER,SD,57580,TRIPP,(605) 842-7100,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,81,6.0,Not Applicable,80,6.0,18,6.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16.0,Not Available,5.0,Not Available,16.0,Not Available,5.0,Not Available,16.0,Not Available,16.0,Not Available,16.0,Not Available,5.0,43.370296,-99.847488
353865,353865,431335,HURON REGIONAL MEDICAL CENTER,172 FOURTH STREET SE,HURON,SD,57350,BEADLE,(605) 353-6200,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,74,,Not Applicable,151,,19,,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16.0,Not Available,16.0,Not Available,5.0,Not Available,5.0,Same as the national average,,Not Available,16.0,Not Available,16.0,Same as the national average,,44.361473,-98.210854
353958,353958,431336,SANFORD VERMILLION HOSPITAL,20 SOUTH PLUM STREET,VERMILLION,SD,57069,CLAY,(605) 677-3500,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,79,6.0,Not Applicable,70,6.0,25,6.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16.0,Not Available,5.0,Not Available,16.0,Not Available,5.0,Not Available,16.0,Same as the national average,,Not Available,5.0,Same as the national average,,42.778030998436,-96.919487005528
354051,354051,431337,AVERA HAND COUNTY MEMORIAL HOSPITAL AND CLINIC,300 W 5TH ST,MILLER,SD,57362,HAND,(605) 853-2421,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,91,6.0,Not Applicable,65,6.0,50,6.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Same as the national average,,Not Available,16.0,Same as the national average,,Not Available,16.0,Not Available,5.0,Above the national average,,Not Available,16.0,44.520176,-98.99192
354144,354144,431338,AVERA GREGORY HOSPITAL,400 PARK STREET  POST OFFICE BOX 408,GREGORY,SD,57533,GREGORY,(605) 835-8394,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,90,6.0,Not Applicable,98,6.0,37,6.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Same as the national average,,Not Available,16.0,Below the national average,,Above the national average,,Not Available,5.0,Above the national average,,Same as the national average,,43.231987,-99.430466
354237,354237,431339,COTEAU DES PRAIRIES HEALTH CARE SYSTEM,205 ORCHARD DR,SISSETON,SD,57262,ROBERTS,(605) 698-7647,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,84,6.0,Not Applicable,61,6.0,18,6.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16.0,Not Available,5.0,Not Available,16.0,Same as the national average,,Not Available,16.0,Same as the national average,,Not Available,5.0,Not Available,5.0,45.656612,-97.051285
354330,354330,433300,LIFESCAPE,2501 W 26TH ST,SIOUX FALLS,SD,57105,MINNEHAHA,(605) 444-9500,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,Not Available,19.0,Not Applicable,Not Available,19.0,Not Available,19.0,07/01/2018,06/30/2019,2020,Childrens,Voluntary non-profit - Private,No,,Not Available,19.0,Not Available,19.0,Not Available,19.0,Not Available,19.0,Not Available,19.0,Not Available,19.0,Not Available,19.0,Not Available,19.0,43.528538,-96.755501
354423,354423,440001,UNICOI COUNTY  HOSPITAL,2030 TEMPLE HILL ROAD,ERWIN,TN,37650,UNICOI,(423) 743-3141,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,85,6.0,Not Applicable,76,6.0,18,6.0,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Not Available,5.0,Not Available,5.0,Same as the national average,,Not Available,16.0,Same as the national average,,Above the national average,,Same as the national average,,36.118435,-82.444649
354516,354516,440002,JACKSON-MADISON COUNTY GENERAL HOSPITAL,620 SKYLINE DRIVE,JACKSON,TN,38301,MADISON,(731) 541-5000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,82,,Not Applicable,2317,,22,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,1,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,35.636642,-88.831764
354609,354609,440003,SUMNER REGIONAL MEDICAL CENTER,555 HARTSVILLE PIKE,GALLATIN,TN,37066,SUMNER,(615) 452-4210,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,77,,Not Applicable,575,,22,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,3,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,36.390247,-86.434105
354702,354702,440006,TRISTAR SKYLINE MEDICAL CENTER,3441 DICKERSON PIKE,NASHVILLE,TN,37207,DAVIDSON,(615) 769-2000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,77,,Not Applicable,1049,,19,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,36.245041,-86.751663
354795,354795,440007,UNITY MEDICAL CENTER,481 INTERSTATE DRIVE,MANCHESTER,TN,37355,COFFEE,(931) 728-6354,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,85,,Not Applicable,171,,32,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Physician,Yes,Y,4,,Same as the national average,,Not Available,5.0,Below the national average,,Above the national average,,Below the national average,,Above the national average,,Not Available,5.0,35.497009,-86.078598
354888,354888,440008,HENDERSON COUNTY COMMUNITY HOSPITAL,200 W CHURCH ST,LEXINGTON,TN,38351,HENDERSON,(731) 968-1801,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,88,6.0,Not Applicable,75,6.0,24,6.0,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,3,,Same as the national average,,Not Available,5.0,Same as the national average,,Not Available,16.0,Not Available,5.0,Above the national average,,Same as the national average,,35.655266,-88.398613
354981,354981,440009,CUMBERLAND MEDICAL CENTER,421 S MAIN ST,CROSSVILLE,TN,38555,CUMBERLAND,(931) 484-9511,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,80,,Not Applicable,534,,27,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,35.944054,-85.020874
355074,355074,440010,WAYNE MEDICAL CENTER,103 J V MANGUBAT DR,WAYNESBORO,TN,38485,WAYNE,(931) 722-5411,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,92,6.0,Not Applicable,73,6.0,21,6.0,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,4,,Same as the national average,,Not Available,5.0,Same as the national average,,Not Available,16.0,Same as the national average,,Above the national average,,Not Available,5.0,35.324669,-87.756897
355167,355167,440011,BLOUNT MEMORIAL HOSPITAL,907 E LAMAR ALEXANDER PARKWAY,MARYVILLE,TN,37804,BLOUNT,(865) 983-7211,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,75,,Not Applicable,1969,,25,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Local,Yes,,2,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,35.756493,-83.958679
355260,355260,440012,WELLMONT BRISTOL REGIONAL MEDICAL CENTER,ONE MEDICAL PARK BLVD,BRISTOL,TN,37620,SULLIVAN,(423) 844-1121,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,78,,Not Applicable,1842,,22,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,-1,-1
355353,355353,440015,UNIVERSITY OF TN MEDICAL CENTER,1924 ALCOA HIGHWAY,KNOXVILLE,TN,37920,KNOX,(865) 544-9000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,79,,Not Applicable,2179,,23,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,35.940601,-83.944565
355446,355446,440016,BAPTIST MEMORIAL HOSPITAL - CARROLL COUNTY,631 RB WILSON DR,HUNTINGDON,TN,38344,CARROLL,(731) 986-4461,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,83,6.0,Not Applicable,82,6.0,16,6.0,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Not Available,5.0,Same as the national average,,Not Available,16.0,Same as the national average,,Above the national average,,Same as the national average,,36.022984,-88.412437
355539,355539,440017,WELLMONT HOLSTON VALLEY MEDICAL CENTER,130 WEST RAVINE ROAD,KINGSPORT,TN,37662,SULLIVAN,(423) 224-4000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,75,,Not Applicable,1980,,23,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,36.553596,-82.554482
355632,355632,440018,SYCAMORE SHOALS HOSPITAL,1501 WEST ELK AVENUE,ELIZABETHTON,TN,37643,CARTER,(423) 542-1300,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,83,,Not Applicable,471,,19,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Not Available,5.0,36.346058,-82.249832
355725,355725,440020,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI,1265 E COLLEGE ST,PULASKI,TN,38478,GILES,(931) 363-7531,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,81,,Not Applicable,236,,23,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,4,,Same as the national average,,Not Available,5.0,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,35.189087,-87.004189
355818,355818,440029,WILLIAMSON MEDICAL CENTER,4321 CAROTHERS PARKWAY,FRANKLIN,TN,37067,WILLIAMSON,(615) 435-5000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,83,,Not Applicable,671,,31,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,35.916565,-86.81955
355911,355911,440030,MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION,908 W 4TH NORTH ST,MORRISTOWN,TN,37814,HAMBLEN,(423) 586-4231,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,76,,Not Applicable,624,,23,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Local,Yes,Y,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,36.213013,-83.305473
356004,356004,440031,ROANE MEDICAL CENTER,8045 ROANE MEDICAL CENTER DRIVE,HARRIMAN,TN,37748,ROANE,(865) 316-1000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,79,,Not Applicable,288,,20,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,,Same as the national average,,Not Available,5.0,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,35.889244,-84.555931
356097,356097,440032,HAWKINS COUNTY MEMORIAL HOSPITAL,851 LOCUST STREET,ROGERSVILLE,TN,37857,HAWKINS,(423) 921-7000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,83,,Not Applicable,120,,21,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Same as the national average,,Not Available,5.0,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,36.399872,-83.014275
356190,356190,440033,LAFOLLETTE MEDICAL CENTER,923 EAST CENTRAL AVENUE,LA FOLLETTE,TN,37766,CAMPBELL,(423) 907-1200,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,83,,Not Applicable,145,,15,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,2,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,36.38886600099,-84.111553972639
356283,356283,440034,METHODIST MEDICAL CENTER OF OAK RIDGE,990 OAK RIDGE TURNPIKE BOX 529,OAK RIDGE,TN,37830,ANDERSON,(865) 835-1000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,80,,Not Applicable,748,,28,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,36.024857,-84.24482
356376,356376,440035,TENNOVA HEALTHCARE-CLARKSVILLE,651 DUNLOP LANE,CLARKSVILLE,TN,37040,MONTGOMERY,(931) 502-1000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,72,,Not Applicable,729,,19,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,2,,Below the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,36.582069,-87.270355
356469,356469,440039,VANDERBILT UNIVERSITY MEDICAL CENTER,1211 MEDICAL CENTER DRIVE,NASHVILLE,TN,37232,DAVIDSON,(615) 322-3454,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,81,,Not Applicable,6918,,20,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,36.14263,-86.80135
356562,356562,440040,PERRY COMMUNITY HOSPITAL,2718 SQUIRREL HOLLOW DRIVE,LINDEN,TN,37096,PERRY,(931) 589-2121,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,85,10.0,Not Applicable,37,10.0,20,10.0,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,3,,Same as the national average,,Not Available,5.0,Below the national average,,Not Available,16.0,Not Available,5.0,Above the national average,,Not Available,5.0,35.592182,-87.863876
356655,356655,440046,TRISTAR HORIZON MEDICAL CENTER,111 HIGHWAY 70 EAST,DICKSON,TN,37055,DICKSON,(615) 446-0446,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,83,,Not Applicable,728,,19,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,3,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,36.073303,-87.375191
356748,356748,440048,BAPTIST MEMORIAL HOSPITAL,6019 WALNUT GROVE ROAD,MEMPHIS,TN,38120,SHELBY,(901) 226-5000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,75,,Not Applicable,2001,,16,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,35.130299,-89.861946
356841,356841,440049,METHODIST HEALTHCARE MEMPHIS HOSPITALS,1265 UNION AVE SUITE 700,MEMPHIS,TN,38104,SHELBY,(901) 516-8274,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,80,,Not Applicable,3772,,19,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,2,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Above the national average,,35.136688,-90.019524
